2021-12-01 09:51:47.004  INFO 18520 --- [main] c.c.c.ConfigServicePropertySourceLocator : Fetching config from server at : http://localhost:8888
2021-12-01 09:51:47.159  INFO 18520 --- [main] c.c.c.ConfigServicePropertySourceLocator : Connect Timeout Exception on Url - http://localhost:8888. Will be trying the next url if available
2021-12-01 09:51:47.160  WARN 18520 --- [main] c.c.c.ConfigServicePropertySourceLocator : Could not locate PropertySource: I/O error on GET request for "http://localhost:8888/resource-mngt-service/default": Connection refused: no further information; nested exception is java.net.ConnectException: Connection refused: no further information
2021-12-01 09:51:47.163  INFO 18520 --- [main] org.arm.resource.mngt.ArmRMSApplication  : The following profiles are active: dev
2021-12-01 09:51:47.948  INFO 18520 --- [main] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2021-12-01 09:51:48.245  INFO 18520 --- [main] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 285 ms. Found 4 JPA repository interfaces.
2021-12-01 09:51:48.547  INFO 18520 --- [main] o.s.cloud.context.scope.GenericScope     : BeanFactory id=1af2baaf-df53-35c1-981c-bbc28dce3da8
2021-12-01 09:51:49.110  INFO 18520 --- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port(s): 8000 (http)
2021-12-01 09:51:49.124  INFO 18520 --- [main] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2021-12-01 09:51:49.125  INFO 18520 --- [main] org.apache.catalina.core.StandardEngine  : Starting Servlet engine: [Apache Tomcat/9.0.52]
2021-12-01 09:51:49.347  INFO 18520 --- [main] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2021-12-01 09:51:49.348  INFO 18520 --- [main] w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 2165 ms
2021-12-01 09:51:49.548  INFO 18520 --- [main] o.f.c.internal.license.VersionPrinter    : Flyway Community Edition 7.7.3 by Redgate
